
set FulltimeSUPPLIES:= Grover GroverOT Rutherford RutherfordOT Warren WarrenOT Gerald GeraldOT Marty MartyOT Benji BenjiOT Franklin FranklinOT Teddy TeddyOT Abe AbeOT;
set PrestigeSUPPLIES:= Polk Quincy Franklin FranklinOT Teddy TeddyOT Abe AbeOT;

param: SUPPLIES: s:=
Pierce          29.5
Chester         29.5
William         29.5
Millard         29.5
Grover          45
GroverOT        15
Rutherford      45
RutherfordOT    15
Warren          45
WarrenOT        15
Gerald          45
GeraldOT        15
Marty           45
MartyOT         15
Benji           45
BenjiOT         15
Polk            29.5
Quincy          29.5
Franklin        45
FranklinOT      15
Teddy           45
TeddyOT         15
Abe             45
AbeOT           15;


param: DEMANDS: d:=
F11 4
F12 4
F13 4
F14 4
F15 4
F16 4
F21 4
F22 4
F23 4
F24 4
F25 4
F26 4
F31 4
F32 4
F33 4
F34 4
F35 4
F36 4
F41 4
F42 4
F43 4
F44 4
F45 4
F46 4
F51 4
F52 4
F53 4
F54 4
F55 4
F56 4
F61 4
F62 4
F63 4
F64 4
F65 4
F66 4
F71 4
F72 4
F73 4
F74 4
F75 4
F76 4
B11 4
B12 4
B13 4
B14 4
B15 4
B16 4
B21 4
B22 4
B23 4
B24 4
B25 4
B26 4
B31 4
B32 4
B33 4
B34 4
B35 4
B36 4
B41 4
B42 4
B43 4
B44 4
B45 4
B46 4
B51 4
B52 4
B53 4
B54 4
B55 4
B56 4
B61 4
B62 4
B63 4
B64 4
B65 4
B66 4
B71 4
B72 4
B73 4
B74 4
B75 4
B76 4
C11 4
C12 4
C13 4
C21 4
C22 4
C23 4
C31 4
C32 4
C33 4
C41 4
C42 4
C43 4
C51 4
C52 4
C53 4
C61 4
C62 4
C63 4
C71 4
C72 4
C73 4
A11 4
A12 4
A13 4
A14 4
A21 4
A22 4
A23 4
A24 4
A31 4
A32 4
A33 4
A34 4
A41 4
A42 4
A43 4
A44 4
A51 4
A52 4
A53 4
A54 4
A61 4
A62 4
A63 4
A64 4
A71 4
A72 4
A73 4
A74 4
DD 185;


